"C:\Program Files\Java\jdk-9.0.1\bin\java" -Dvisualvm.id=616500452319959 -Xms1024m -Xmx4096m "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.4\lib\idea_rt.jar=57481:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.4\bin" -Dfile.encoding=UTF-8 -classpath C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\out\production\BasicClassifier;C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\lib\libsvm.jar;C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\lib\neuroph-2.94\neuroph-core-2.94.jar;C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\lib\neuroph-2.94\libs\slf4j-api-1.7.5.jar;C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\lib\neuroph-2.94\libs\logback-classic-1.0.13.jar;C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\lib\neuroph-2.94\libs\logback-core-1.1.2.jar me.mostly.ml.test.sp500.NNMain data/sp500/transposed.csv report-3/optimized.nnet
Odd val: ULTA, [23 (2/9/01)] = -0.562608205
Odd val: ULTA, [66 (4/12/01)] = -0.562608205
Odd val: ULTA, [84 (5/9/01)] = -0.562608205
Odd val: ULTA, [118 (6/27/01)] = -0.562608205
Odd val: ULTA, [122 (7/3/01)] = -0.562608205
Odd val: ULTA, [126 (7/10/01)] = -0.515012551
Odd val: ULTA, [129 (7/13/01)] = -0.562608205
Odd val: ULTA, [158 (8/23/01)] = -0.515012551
Odd val: ULTA, [163 (8/30/01)] = -0.515012551
Odd val: ULTA, [165 (9/4/01)] = -0.562608205
Odd val: ULTA, [169 (9/10/01)] = -0.515012551
Odd val: ULTA, [187 (10/10/01)] = -0.515012551
Odd val: ULTA, [208 (11/8/01)] = -0.562608205
Odd val: ULTA, [232 (12/13/01)] = -0.562608205
Odd val: ULTA, [238 (12/21/01)] = -0.562608205
Odd val: ULTA, [242 (12/28/01)] = -0.515012551
Odd val: ULTA, [270 (2/8/02)] = -0.515012551
Odd val: ULTA, [275 (2/15/02)] = -0.640870613
Odd val: ULTA, [282 (2/27/02)] = -0.595002837
Odd val: ULTA, [295 (3/18/02)] = -0.566541497
Odd val: ULTA, [507 (1/17/03)] = -0.757161781
Odd val: UAL, [293 (3/14/02)] = -0.583146285
Odd val: UAL, [342 (5/23/02)] = -0.618597024
Odd val: UAL, [359 (6/18/02)] = -0.529402009
Odd val: UAL, [363 (6/24/02)] = -0.505854611
Odd val: UAL, [383 (7/23/02)] = -0.505797329
Odd val: UAL, [417 (9/10/02)] = -0.530628251
Odd val: UAL, [419 (9/12/02)] = -0.630273939
Odd val: UAL, [427 (9/24/02)] = -0.620436833
Odd val: UAL, [434 (10/3/02)] = -0.655186418
Odd val: UAL, [455 (11/1/02)] = -0.550932665
Odd val: VRSN, [326 (5/1/02)] = -0.612092815
Odd val: WMB, [385 (7/25/02)] = -0.942803094
Odd val: WMB, [386 (7/26/02)] = -0.524178053
Odd val: WYNN, [54 (3/27/01)] = -0.695408187
Odd val: WYNN, [379 (7/17/02)] = -0.590930111
Odd val: WYNN, [418 (9/11/02)] = -0.741726509
Odd val: XL, [1952 (10/14/08)] = -0.77223033
Testing [CERN, APA, ALB, ECL, GPN, MMM, HOLX, JEC, CSRA, REGN, PCLN, XOM, CHD, TROW, LOW, GD, BWA, HCP, AAL, LNT, DLPH, DHI, KO, WMT, BBY, XLNX, INCY, RIG, WRK, EA, QRVO, RCL, CNC, DRI, ISRG, CCL, ATVI, HIG, TSO, ED, PNC, UPS, KIM, DOV, NEE, SWKS, DIS, KMX, A, KORS]
Oracle: me.mostly.ml.test.sp500.NNMain$$Lambda$29/1690254271@2029142f
Classifier: me.mostly.ml.NeurophNNClassifier@19defaea

Actual prevalence:                        0.48 (RealPos/Total)

=== RESULTS ===
True positives (TP):                      10
False positives (FP):                     4
False negatives (FN):                     14
True negatives (TN):                      22

=== DESIRABLE STATS (0 to 1) ===
Accuracy:                                 0.64 (accuracy=(TP+TN)/Total)
True positive rate (Recall, Sensitivity): 0.4166666666666667 (TPR=TP/RealPos)
True negative rate (Specificity):         0.8461538461538461 (TNR=TN/RealNeg)
Positive predictive value (Precision):    0.7142857142857143 (PPV=TP/PredictedPos)
Negative predictive value:                0.6111111111111112 (NPV=TN/PredictedNeg)
Area under convex hull ROC curve:         0.6314102564102564 (area=(TPR+TNR)/2)
F1 score:                                 0.5263157894736842 (F1=2/(1/TPR + 1/PPV))
F1 score (negative condition):            0.7096774193548386 (F1=2/(1/TNR + 1/NPV))

=== UNDESIRABLE STATS (0 to 1) ===
Inaccuracy:                               0.36 (inaccuracy=(FP+FN)/Total)
False positive rate (Fallout):            0.15384615384615385 (FPR=FP/RealNeg)
False negative rate (Miss rate):          0.5833333333333334 (FNR=FN/RealPos)
False discovery rate (False alarm):       0.2857142857142857 (FDR=FP/PredictedPos)
False omission rate:                      0.3888888888888889 (FOR=FN/PredictedNeg)

=== DESCRIPTIVE STATS (0 to inf) ===
Positive likelihood ratio (high better):  2.7083333333333335 (LR+=TPR/FPR)
Negative likelihood ratio (low better):   0.6893939393939394 (LR-=FNR/TNR)
Diagnostic odds ratio (high better):      3.9285714285714284 (DOR=LR+/LR-)


Picks: [A, AAL, ATVI, CNC, CSRA, DOV, EA, GD, GPN, HIG, KMX, PNC, SWKS, XLNX]
Average return: 1.26547247970945

Process finished with exit code 0
